Sintomas,Laudo técnico,Possível Diagnóstico
"Dor Abdominal;  Icterícia (Amarelamento da pele e olhos), Hepatomegalia (Aumento do fígado), Perda de Apetite e Perda de Peso, Náuseas e Vômitos, Ascite (Acúmulo de Líquido no Abdômen),  Fadiga e Cansaço Excessivo, Febre e Suores Noturnos, sangramentos e Facilidade para Hemorragias","Massa focal irregular, hipoecoica ou hiperecoica, heterogênea, com vascularização aumentada.Metástases Hepáticas:Múltiplas massas, de ecogenicidade variável (hipoecoicas, hiperecoicas ou isoeicoicas), com vascularização periférica.Adenoma hepático:Lesões bem circunscritas, de ecogenicidade variável, sem vascularização interna.Hemangioma Hepático:Lesão hiperecoica, homogênea, com bordas bem definidas e sem necrose.Cistos Hepáticos com Tumores:Cistos com septos ou conteúdo sólido, ou com paredes espessas.Ascite e Hepatomegalia:Acúmulo de líquido abdominal e aumento do fígado.Cápsula Tumoral:Presença de cápsula, com bordas mais ecogênicas.",Tumores Hepáticos
Dispneia progressiva.Tosse crônica com produção de expectoração.Sibilância e cansaço fácil.,"Espessamento pleural.Aumento da ecogenicidade do parênquima pulmonar, sugerindo alterações crônicas nas vias aéreas.Presença de derrame pleural, com áreas anecoicas ou hiperecoicas.",Doença Pulmonar Obstrutiva Crônica (DPOC)
Dor torácica súbita e dificuldade respiratória. Taquipneia e cianose em casos graves.,"Ausência de deslizamento pleural no local afetado. Lung sliding ausente, sugerindo colapso pulmonar. Linhas A e B, que indicam a presença de líquido ou ar entre a pleura visceral e parietal.",Pneumotórax
"Dor abdominal em quadrante inferior direito. Febre, náuseas e vômitos. Perda de apetite.","Apêndice dilatado (geralmente superior a 6 mm de diâmetro). Paredes espessas do apêndice, com hiperecogenicidade periapendicular. Presença de líquido livre na cavidade peritoneal em casos de perfuração.",Apendicite
"Dor abdominal em quadrante inferior esquerdo. Febre, alterações no trânsito intestinal (diarreia ou constipação). Náuseas e vômitos.","Divertículos inflamatórios, com paredes espessas. Presença de líquido livre ou abscessos na região afetada. Alteração da ecogenicidade ao redor do cólon.",Diverticulite
" Dor Abdominal (Cólica Biliar), icterícia (Amarelamento da Pele e dos Olhos),  Náuseas e Vômitos,  Indigestão e Sensação de Plenitude Abdominal, Febre e Calafrios, Alterações no Apetite,  Dor em Forma de Ondas, Eventos Súbitos e Severos (Cólica Biliar Aguda), Dor Costal e Nas Costas, ","Presença de cálculos (pedras) dentro da vesícula biliar, com tamanhos variados, Cálculos hiperecoicos (mais brilhantes) com sombra acústica posterior, típicos de cálculos biliares, localizados no interior da vesícula biliar, ",Colelitíase
"Aumento do perímetro cefálico.Fontanelas dilatadas. Sintomas neurológicos (irritabilidade, atraso no desenvolvimento).","Aumento das ventrículas cerebrais. Dilatação dos sistemas ventriculares laterais, com ou sem dilatação do terceiro ventrículo.",Hidrocefalia Congênita (Pediátrica)
Dor lombar.Febre alta e calafrios.Disúria e urgência urinária.Achados Ultrassonográficos:,"Dilatação do sistema coletor renal.Alterações na ecogenicidade renal, sugerindo presença de edema ou necrose.Abscessos renais podem ser visíveis como áreas anecoicas.",Pielonefrite
Icterícia.Febre e calafrios.Dor no quadrante superior direito (geralmente tipo cólica).,Dilatação das vias biliares intra e extra-hepáticas.Espessamento da parede da vesícula biliar.Presença de cálculos ou detritos biliares que possam obstruir os ductos.,Colangite (Infecção das Vias Biliares)
Irregularidade menstrual.Hirsutismo (crescimento excessivo de pelos).Infertilidade.,"Presença de múltiplos pequenos cistos (geralmente 10 ou mais) no córtex ovariano.Ovarios aumentados de tamanho e padrão de ""anel de pérola"".",Síndrome dos Ovários Policísticos (SOP)
Dor perineal e sensação de peso.Disúria e urgência urinária.Febre e mal-estar (nos casos infecciosos).,"Aumento da próstata, com hiperecogenicidade (quando inflamada).Abscessos prostáticos visíveis como áreas anecoicas ou hipoecoicas.",Prostatite 
Dificuldade para urinar.Jato urinário fraco e micção frequente.Hesitação para iniciar a micção.,"Aumento do volume prostático (geralmente acima de 30-40g).Variação na ecogenicidade da próstata, com regiões hipoecoicas ou hiperecoicas, dependendo do grau da hiperplasia.",Hiperplasia Benigna da Próstata (BPH) - Idosos
"Dor Abdominal Intensa, Febre e Calafrios, Icterícia (Amarelamento da Pele e dos Olhos), Náuseas e Vômitos, Sensibilidade Abdominal, Distensão Abdominal, Fadiga e Mal-estar Geral, Mudanças nos Hábitos Intestinais","Espessamento das paredes da vesícula biliar, com espessura superior a 4 mm, sugestivo de colecistite aguda., Presença de cálculos (hiperecoicos) no interior da vesícula biliar, com sombra acústica posterior, indicativos de colelitíase., Líquido perivesicular, Vesícula biliar distendida, ",Colecistite
"Dor no quadril, especialmente ao caminhar.Rigidez articular e diminuição da amplitude de movimento.",Espessamento da cápsula articular.Perda da cartilagem articular e osteófitos (crescimentos ósseos).Alteração do espaço articular (diminuição).,Coxartrose 
"Dor torácica, especialmente em posição supina.Febre e sintomas gripais.Dificuldade respiratória em casos mais graves.","Espessamento da camada do pericárdio.Presença de líquido pericárdico, com ecogenicidade variável (aneico ou com partículas).",Pericardite
"Dor Abdominal,  Indigestão, Náuseas e Vômitos, Icterícia, Alterações no Apetite",Pólipos como áreas mais brilhantes (hiperecoicas) que são fixas à parede da vesícula biliar e não se movem com a mudança de posição do paciente.,Pólipos na vesícula biliar
"Dor abdominal e diarreia crônica.Perda de peso, fadiga, e sangramento retal.","Espessamento da parede intestinal.Alteração na ecogenicidade do intestino, com áreas hipoecóicas (indicativas de inflamação).Presença de líquido livre ou abcessos em casos de complicações.",Doença Inflamatória Intestinal (DII)
"Dor abdominal, diarreia crônica e fadiga.Perda de peso e sintomas sistêmicos como febre.",Espessamento das paredes intestinais.Estreitamento intestinal e fístulas em áreas mais avançadas.,Doença de Crohn
"Dor Abdominal Intensa, Náuseas e Vômitos, Febre, Distensão Abdominal, Hipotensão e Taquicardia,Perda de Peso, Esteatorreia",Aumento e ecotextura heterogênea do pâncreas e dilatação do ducto pancreático principal,Pancreatite
"Cefaleia persistente, com aumento de intensidade ao acordar.Náuseas e vômitos.Déficits neurológicos progressivos (paralisia, perda de visão).","Massa intracraniana com limites irregulares.Alteração do padrão ecográfico do parênquima cerebral (hiperecoico ou hipoecoico, dependendo do tipo de tumor).",Tumor Cerebral
"Dor Abdominal, Distensão Abdominal, Náuseas e Vômitos, Icterícia, Perda de Peso e Fadiga, Febre e Sinais de Infecção.","O exame ultrassonográfico revela a presença de cisto pancreático localizado na região [corporal/caudal] do pâncreas, com características sugestivas de cisto seroso. O cisto apresenta-se unilocular, anecoico, sem calcificações ou sinais de complicações.",Cistos Pancreáticos
"Dor Abdominal, Icterícia, Perda de Peso Inexplicada, Náuseas e Vômitos, Distensão Abdominal, Diabetes de Início Súbito, ","A ultrassonografia revela a presença de massa pancreática na região da cabeça do pâncreas, com características sugestivas de tumor sólido. A massa é de densidade mista e apresenta dilatação do ducto pancreático e ducto biliar comum, o que pode indicar obstrução devido ao tumor.; ",Tumores pancreáticos
"Hematúria, Dor lombar, Massa palpável, Perda de peso inexplicada. Febre de origem desconhecida, Fadiga, Hipertensão arterial, Policitemia, Hipercalcemia, Anemia. ","O rim apresenta massa sólida, localizada no pólo superior, medindo aproximadamente X cm em seus maiores diâmetros. A lesão é predominantemente hipoecogênica em relação ao parênquima renal adjacente, com contornos irregulares e margens mal definidas. Ao Doppler colorido, observa-se vascularização interna aumentada. Não foram identificadas calcificações ou cistos associados.",Tumores Renais
"Os pólipos intestinais podem ser assintomáticos ou causar sintomas dependendo de sua localização e tamanho. Quando sintomáticos, os sinais mais comuns incluem:Sangramento retal ou presença de sangue nas fezes.Alterações no hábito intestinal, como diarreia ou constipação.Dor abdominal ou sensação de desconforto.Perda de peso inexplicada e fadiga (em casos mais graves ou quando o pólipo é maligno).","Espessamento da parede intestinal: Lesões hipoecóicas: Em alguns casos, pólipos podem ser visualizados como lesões hipoecóicas (mais escuras que o tecido ao redor), com bordas bem definidas, embora isso seja raro. Pólipos muito pequenos podem não ser visíveis por ultrassonografia. Obstrução intestinal: acompanhada de líquido livre na cavidade abdominal, sugerindo complicações, como peritonite. Presença de sangue ou líquidos: Sangramento intestinal pode ser indicativo de pólipos hemorrágicos, que muitas vezes são benignos, mas podem evoluir para câncer. A ultrassonografia pode mostrar líquido livre (indício de sangramento ou perfuração) na cavidade abdominal. Em caso de hemorragia significativa, o líquido pode ser identificado através da ultrassonografia como uma área anecoica ou hipoecóica.",Pólipos Intestinais
Identificação durante o acompanhamento pré-natal devido à ausência do cérebro e calvária.,Ausência do cérebro (anencefalia) e da calvária (ossos do crânio). Presença de líquido amniótico aumentada (polidrâmnio).,Anencefalia (Pré-natal)
Testes genéticos e ultrassonografia para avaliação de marcadores de anomalias cromossômicas.,"Atraso no crescimento fetal. Oligohidrâmnio ou polidrâmnio. Marcadores ultrassonográficos, como espessamento da nuca (nuca translucente), que pode indicar a síndrome de Down. Anencefalia",Síndrome de Down (Pré-natal)
Nódulo palpável na mama. Alterações na pele ou desconforto no local.,"Lesões sólidas (hipoecóicas ou isodensas) ou císticas (anecoicas) na mama. Características do nódulo como forma, bordas e ecogenicidade, que ajudam a diferenciar nódulos benignos de malignos. ",Nódulos na Mama
Dificuldade para urinar ou micção incompleta. Infecções urinárias recorrentes.,"Presença de saculações na parede da bexiga, visíveis como áreas anechoicas. Espessamento da parede da bexiga em casos crônicos.",Divertículos na Bexiga
"Assintomático em muitos casos, mas pode causar dor lombar se houver complicações como sangramento ou infecção.","Conteúdo anecogênico, Parede posterior bem definida, Reforço acústico posteriormente à lesão, Espessura da parede não mensurável",Cistos Renais
"Assintomático na maioria das vezes, mas pode causar dor no quadrante superior direito e náuseas.","Pólipos como lesões pequenas, hiperecóicas que não causam sombra acústica. Vesícula biliar normal com polipoide projetando-se da parede.",Pólipos na Vesícula Biliar
Dor abdominal pulsátil (em casos mais avançados). Hipotensão ou choque em casos de ruptura.,"Aneurisma de aorta visível como dilatação da aorta abdominal, com diâmetro superior a 3 cm. Paredes aórticas dilatadas e irregulares.",Aneurismas da Aorta
"Dor Abdominal ou Sensação de Plenitude, Icterícia, Fadiga e Fraqueza, Sensação de Sede Excessiva (Polidipsia), Febre, Perda de Peso Inexplicada, Sangramentos ou Hematomas, ","O exame ultrassonográfico revela aumento do baço, com tamanho superior a 12 cm no eixo longitudinal, indicando esplenomegalia. A ecotextura esplênica está preservada, sem sinais de lesões focais.",Esplenomegalia
"Dor Abdominal, Febre, Mal-estar Geral, Icterícia, Náuseas e Vômitos, Perda de Peso e Anemia, Hipoatividade ou Dificuldade Respiratória","A ultrassonografia revela a presença de uma coleção hipoecoica no baço, com características sugestivas de abscesso esplênico. A formação é heterogênea e apresenta contornos irregulares, indicativos de uma infecção com possível necrose ou gás.; ",Abscesso esplênico
"Dor abdominal, Febre, Náusea e vômitos, Esplenomegalia, fadiga, perda de apetite, ",Presença de área hipoecogênica heterogênea na região esplênica com margens irregulares.,Infarto Esplênico
"Dor lombar ou no flanco, Hematúria, Febre, Náusea e vômitos, Disúria,Hipertensão. ",Presença de dilatação da pelve renal e cálices renais. arênquima renal com espessura preservada e ecotextura homogênea.,Hidronefrose
"Dor abdominal,  Distensão abdominal, Náusea e vômitos, Perda de peso, Febre, Icterícia, Massa abdominal palpável. ","Visualiza-se uma lesão cística localizada na região pancreática (corpo/cauda/cabeça), medindo aproximadamente X cm em seus maiores diâmetros. Conteúdo predominantemente anecoico, com algumas áreas de debris ecogênicos. Parede bem definida e espessada. ",Pseudocistos pancreáticos
"Febre alta, Fadiga e mal-estar geral, Perda de apetite e perda de peso, or lombar ou no flanco, Hematúria, disúria, poliúria. "," O rim apresenta lesão focal heterogênea, localizada no polo médio, medindo aproximadamente X cm em seus maiores diâmetros. A lesão é predominantemente hipoecogênica, com margens irregulares e presença de debris ecogênicos no interior. Não há vascularização ao Doppler colorido na área descrita. Pequeno espessamento dos tecidos perirrenais adjacentes, sem coleções líquidas livres na cavidade abdominal no momento do exame.",Abscesso Renal
"Dor abdominal, Sensação de plenitude abdominal, Icterícia","Lesão anecoica, de contornos regulares, com reforço acústico posterior.Parênquima hepático com ecotextura homogênea e sem outras alterações.",Cistos hepáticos
"Icterícia, Prurido, Urina escura e fezes claras, Dor abdominal, Perda de peso e fadiga, Febre intermitente.","Visualiza-se dilatação significativa dos ductos biliares intra-hepáticos, com ducto hepático comum medindo até X mm em diâmetro. Na região hilar, observa-se lesão hipoecogênica de contornos irregulares, medindo aproximadamente Y cm, causando obstrução do fluxo biliar. O colédoco distal não é visualizado de forma adequada, sugerindo possível obstrução completa. A vesícula biliar está moderadamente distendida, com parede de espessura normal. Não foram identificadas coleções líquidas livres ou sinais de perfuração.",Tumores das vias biliares. 
"Dor abdominal intensa, Sensação de plenitude abdominal, Tontura ou síncope, Palidez, sudorese, taquicardia e hipotensão, Rigidez abdominal. ","Baço com contornos irregulares, apresentando área hipoecogênica heterogênea no polo inferior, medindo aproximadamente X cm, sugestiva de hematoma intraparenquimatoso. Identifica-se líquido anecoico em moderada quantidade na região periesplênica, estendendo-se para o espaço hepatorrenal e a cavidade peritoneal.",Ruptura esplênica
"Dor abdominal ou lombar, Sensação de massa abdominal, Perda de peso inexplicada, Distensão abdominal, Edema de membros inferiores, ","dentificada massa heterogênea no espaço retroperitoneal esquerdo, medindo aproximadamente X cm em seus maiores diâmetros, com margens irregulares e ecotextura predominantemente sólida. A lesão comprime estruturas adjacentes, incluindo o polo inferior do rim esquerdo, sem sinais evidentes de invasão parenquimal. Fluxo vascular interno identificado ao Doppler colorido, com padrão irregular. Pequena quantidade de líquido anecoico na cavidade peritoneal inferior.",Tumores retroperitoneais 
"Distensão abdominal, Dor abdominal ou sensação de peso, Dificuldade para respirar , Edema periférico, Febre. ","dentificada presença de líquido livre na cavidade peritoneal, com distribuição difusa na região hepatorrenal, fundo de saco de Morrison e na pelve, com volume moderado. O líquido é anecoico, sem sinais de complexidade (ecogenicidade interna ou septações). Não foram observadas alças intestinais dilatadas ou espessadas. Não há sinais de coleções líquidas complexas.",Ascite
"Dor abdominal, Febre, Distensão abdominal, Náuseas e vômitos, perda de apetite, Sensação de cansaço e indisposição , Constipação ou diarreia. ","Identificada coleção líquida de aproximadamente X cm, com margens irregulares e espessamento da parede, no quadrante inferior direito do abdome, sugerindo abscesso. O conteúdo da coleção apresenta áreas hipoecogênicas e ecotextura heterogênea, compatível com material purulento. Não há sinais de gás dentro da coleção, e não foram observadas coleções adjacentes ou sinais de perfuração visceral. Pequena quantidade de líquido livre na cavidade peritoneal superior.",Abscesso abdominal
"Dor nos linfonodos, Febre, Suores noturnos, Perda de peso inexplicada, aumento visível ou palpável dos linfonodos.","Identificados linfonodos aumentados na região abdominal, com maior diâmetro de X cm, em localizações retroperitoneais (ou outras regiões conforme o caso). Os linfonodos são hipoecogênicos, com margens irregulares e hilus preservado. Alguns linfonodos apresentam características de necrose central, evidenciando áreas anecoicas (sem ecos) ou com baixa ecogenicidade. Observa-se também a presença de septações internas em linfonodos de maior tamanho.",Linfadenopatias abdominais
"Protuberância ou massa visível, Dor ou desconforto, Sensação de peso ou pressão no abdômen, Náuseas e vômitos, Alterações no trânsito intestinal. ","Identificada hérnia no quadrante inferior direito do abdômen, com conteúdo de gordura abdominal que se projeta para fora da cavidade peritoneal. A hérnia mede aproximadamente X cm de diâmetro, com margens bem definidas e compressíveis à aplicação de pressão com o transdutor. Não há sinais de encarceramento ou estrangulamento do conteúdo herniário.",Hérnias abdominais
"Febre, Suores noturnos, Perda de peso inexplicada, Fadiga excessiva , Anemia, Dor abdominal ou desconforto , Distensão abdominal, Sensação de plenitude abdominal, Náuseas e vômitos, Constipação ou diarreia, Perda de apetite, Aumento do baço, ","Presença de linfadenopatia abdominal difusa com aumento dos linfonodos mesentéricos, com características sugerindo infiltração linfomatosa, Infiltração de órgãos adjacentes, incluindo baço e fígado, com aumento de volume desses órgãos.",Linfoma Abdominal
"Dor abdominal, Distensão abdominal , Náuseas e vômitos, Febre, Tosse persistente, Dificuldade para respirar ou falta de ar, Dor torácica, Hemoptise, ","Identificação de uma massa única ou múltipla em um órgão, com características de cisto. O cisto geralmente aparece como uma estrutura bem delimitada, anecoica (escura), com paredes finas e regulares, Imagens em camada ou múltiplas camadas no interior do cisto (formando a típica “imagem em casca de cebola” ou ""imagem de múltiplas bolhas""), que são características do cisto hidático, devido à presença de várias camadas da parede do cisto. ",Cisto Hidático
"Distensão abdominal, Vômitos, Sangue nas fezes, Letargia e apatia, Dificuldade respiratória, Hipotensão , Febre ou hipotermia, Irritabilidade, Sangue nas fezes. ","Distensão das alças intestinais com espessamento da parede intestinal de até 8 mm em algumas regiões, especialmente na porção distal do intestino delgado,  Presença de pneumatosis intestinal com bolhas de ar visíveis na parede de alças intestinais, caracterizando o sinal de duplo arco (double arc sign), Variação de ecogenicidade no conteúdo intestinal, com áreas de hiperecogenicidade sugerindo a presença de gás ou detritos, Aumento da ecogenicidade nos vasos mesentéricos, indicativo de alteração na perfusão intestinal.",Enterocolite necrosante
"Dor abdominal intensa, Distensão abdominal, Vômitos,Constipação ou ausência de evacuações, Febre. ","Ultrassonografia abdominal evidenciando presença de alças intestinais dilatadas, com sinais de distensão e ausência de motilidade. Observado padrão em espiral sugestivo de volvo no segmento distal do cólon sigmoide. Ausência de fluxo sanguíneo mesentérico na área afetada, sugerindo isquemia. Não há evidências de perfuração ou líquido livre na cavidade abdominal.",Volvo intestinal. 
"Vômitos em jato, Perda de peso, Desidratação, Irritação e fome constante, Distensão abdominal leve, Dor abdominal, Vômitos, Distensão abdominal, Perda de apetite e emagrecimento, Eructação e flatulência. ","Ultrassonografia abdominal evidenciando espessamento significativo da musculatura do piloro, com espessura de aproximadamente 6 mm, sugerindo estenose pilórica. Observada dilatação do estômago com acúmulo de conteúdo gástrico, indicando obstrução parcial. Não foram observados sinais de perfuração ou líquido livre. O diagnóstico é compatível com estenose pilórica, com comprometimento do trânsito gástrico. ",Estenose do piloro
"Distensão abdominal, Vômitos, Cólicas e dor abdominal, Letargia, Fezes anormais","alças intestinais dilatadas, com aumento do calibre de aproximadamente 4 cm. Observa-se conteúdo hiperecogênico dentro das alças, sugestivo de mecônio retido. Não há sinais de perfuração ou líquido livre na cavidade abdominal. A motilidade intestinal está reduzida, com ausência de peristaltismo nas alças mais distais", Íleo meconial 
"Dor abdominal intermitente , Vômitos, Fezes com sangue ou muco, Distensão abdominal, Fezes com sangue ou muco, Distensão abdominal. ","Observa-se padrão em anel concêntrico, com invaginação de alças intestinais no quadrante inferior direito do abdômen. As alças invaginadas apresentam dilatação significativa, com acúmulo de líquido e gás. Não há sinais de perfuração, mas há ausência de peristaltismo nas alças afetadas. O fluxo sanguíneo mesentérico está comprometido na área envolvida",Intussuscepção Intestinal
"Hematuria, Dificuldade para urinar, Dor na região pélvica, Micção frequente, Incontinência urinária. ","presença de uma massa sólida ou espessamento irregular da parede da bexiga, que sugere a possibilidade de um tumor, área hipoecogênica (diferente do padrão normal da bexiga, que é anecoica – sem ecos) ou com um padrão heterogêneo, indicando uma massa sólida ou semi-sólida. ",Tumor de bexiga
"Dor abdominal ou sensação de plenitude no quadrante superior direito do abdômen, Náuseas ou desconforto abdominal leve, Icterícia , Perda de peso inexplicada, ","Identificada uma lesão hiperecoica, bem delimitada, no segmento [X] do fígado, com dimensões de [X cm]. A lesão é caracteristicamente sem sombra acústica posterior. ",hemangioma hepático
